Rk,Player,Tm,,,,,,,,
177,Wendell Carter Jr.\cartewe01,ORL,,,,,,,,
178,Isaac Okoro\okorois01,CLE,,,,,,,,
179,Jalen Suggs\suggsja01,ORL,,,,,,,,
180,Cameron Payne\payneca01,PHO,,,,,,,,
181,Joakim Noah\noahjo01,NYK,,,,,,,,
182,Jarrett Culver\culveja01,MEM,,,,,,,,
183,Khem Birch\birchkh01,TOR,,,,,,,,
184,Collin Sexton\sextoco01,CLE,,,,,,,,
185,Onyeka Okongwu\okongon01,ATL,,,,,,,,
186,Justin Holiday\holidju01,IND,,,,,,,,
187,Josh Giddey\giddejo01,OKC,,,,,,,,
188,Rudy Gay\gayru01,UTA,,,,,,,,
189,Patty Mills\millspa02,BRK,,,,,,,,
190,Dennis Schröder\schrode01,BOS,,,,,,,,
191,Kevin Knox\knoxke01,NYK,,,,,,,,
192,Coby White\whiteco01,CHI,,,,,,,,
193,Timofey Mozgov\mozgoti01,ORL,,,,,,,,
194,Killian Hayes\hayeski01,DET,,,,,,,,
195,Mikal Bridges\bridgmi01,PHO,,,,,,,,
196,Shai Gilgeous-Alexander\gilgesh01,OKC,,,,,,,,
197,Jonathan Kuminga\kuminjo01,GSW,,,,,,,,
198,Miles Bridges\bridgmi02,CHO,,,,,,,,
199,Jaxson Hayes\hayesja02,NOP,,,,,,,,
200,Pat Connaughton\connapa01,MIL,,,,,,,,
201,Michael Porter Jr.\portemi01,DEN,,,,,,,,
202,Ryan Anderson\anderry01,MIA,,,,,,,,
203,Hamidou Diallo\diallha01,DET,,,,,,,,
204,Kevon Looney\looneke01,GSW,,,,,,,,
205,Troy Brown Jr.\browntr01,CHI,,,,,,,,
206,Obi Toppin\toppiob01,NYK,,,,,,,,
207,Franz Wagner\wagnefr01,ORL,,,,,,,,
208,Josh Jackson\jacksjo02,DET,,,,,,,,
209,JaVale McGee\mcgeeja01,PHO,,,,,,,,
210,Robin Lopez\lopezro01,ORL,,,,,,,,
211,Kendrick Nunn\nunnke01,LAL,,,,,,,,
212,Lou Williams\willilo02,ATL,,,,,,,,
213,Luol Deng\denglu01,LAL,,,,,,,,
214,Rui Hachimura\hachiru01,WAS,,,,,,,,
215,Garrett Temple\templga01,NOP,,,,,,,,
216,Cory Joseph\josepco01,DET,,,,,,,,
217,Taj Gibson\gibsota01,NYK,,,,,,,,
218,Torrey Craig\craigto01,IND,,,,,,,,
219,Rajon Rondo\rondora01,MEM,,,,,,,,
220,Bruce Brown\brownbr01,BRK,,,,,,,,
221,Deni Avdija\avdijde01,WAS,,,,,,,,
222,Donte DiVincenzo\divindo01,MIL,,,,,,,,
223,Cam Reddish\reddica01,ATL,,,,,,,,
224,David Nwaba\nwabada01,HOU,,,,,,,,
225,Furkan Korkmaz\korkmfu01,PHI,,,,,,,,
226,Davion Mitchell\mitchda01,SAC,,,,,,,,
227,Bryn Forbes\forbebr01,SAS,,,,,,,,
228,Jeff Green\greenje02,DEN,,,,,,,,
229,Ish Smith\smithis01,CHO,,,,,,,,
230,Jalen Smith\smithja04,PHO,,,,,,,,
231,Lonnie Walker IV\walkelo01,SAS,,,,,,,,
232,Cameron Johnson\johnsca02,PHO,,,,,,,,
233,Ziaire Williams\willizi02,MEM,,,,,,,,
234,Maurice Harkless\harklma01,SAC,,,,,,,,
235,Bobby Portis\portibo01,MIL,,,,,,,,
236,Jarred Vanderbilt\vandeja01,MIN,,,,,,,,
237,Kevin Huerter\huertke01,ATL,,,,,,,,
238,Devin Vassell\vassede01,SAS,,,,,,,,
239,P.J. Washington\washipj01,CHO,,,,,,,,
